timestamp,ax,ay,az,gx,gy,gz
5.101,-23.14,31.78,-149.60,12.15,-6.40,23.33
5.155,-79.14,-72.22,-57.60,7.15,-21.40,-23.67
5.209,-79.14,39.78,-5.60,-7.85,12.60,17.33
5.259,108.86,-28.22,-9.60,13.15,-19.40,-44.67
5.313,-23.14,7.78,-9.60,-1.85,6.60,14.33
5.362,-23.14,-20.22,30.40,-14.85,62.60,-72.67
5.417,-111.14,59.78,34.40,-48.85,57.60,142.33
5.471,24.86,-0.22,22.40,-20.85,31.60,-18.67
5.522,-119.14,-40.22,-89.60,7.15,25.60,92.33
5.575,-91.14,-32.22,26.40,-8.85,4.60,-18.67
5.628,-47.14,-28.22,-1.60,6.15,-55.40,11.33
5.680,-11.14,31.78,-97.60,8.15,-8.40,-37.67
5.732,-87.14,-40.22,-61.60,15.15,-34.40,-4.67
5.785,-55.14,11.78,-93.60,-5.85,-14.40,-87.67
5.840,72.86,103.78,-85.60,9.15,7.60,86.33
5.890,-23.14,31.78,42.40,-9.85,9.60,-51.67
5.941,-127.14,-4.22,-81.60,15.15,12.60,45.33
5.993,-127.14,-20.22,78.40,-31.85,43.60,42.33
6.047,-3.14,27.78,-21.60,20.15,-22.40,16.33
6.099,-39.14,59.78,102.40,-18.85,5.60,-4.67
6.150,-3.14,51.78,-9.60,16.15,-21.40,-14.67
6.202,-43.14,39.78,-5.60,4.15,-27.40,-41.67
6.253,72.86,31.78,-121.60,3.15,24.60,-54.67
6.305,-79.14,87.78,-61.60,-27.85,2.60,68.33
6.358,56.86,115.78,-25.60,1.15,-9.40,-33.67
6.410,12.86,-72.22,-33.60,21.15,-8.40,18.33
6.462,72.86,23.78,22.40,-7.85,-35.40,-46.67
6.513,-3.14,-20.22,30.40,3.15,-20.40,6.33
6.564,12.86,67.78,2.40,99.15,-43.40,1.33
6.613,56.86,-96.22,94.40,-9.85,1.60,39.33
6.663,16.86,-32.22,-37.60,8.15,-15.40,-66.67
6.715,32.86,-44.22,62.40,11.15,21.60,73.33
6.766,28.86,3.78,-77.60,-33.85,22.60,17.33
